dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-16T00:12:07.320913
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-16T00:12:07.366217
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-16T00:12:07.413641
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-16T00:12:07.466545
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-16T00:12:07.521328
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:12:07.567387
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:12:07.614998
uci,,1,0.1,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:12:07.662945
uci,,1,0.1,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:12:07.714430
uci,,1,0.1,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:12:07.769369
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:12:07.814795
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:12:07.860670
uci,,1,0.2,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:12:07.907686
uci,,1,0.2,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:12:07.960423
uci,,1,0.2,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:12:08.015987
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:12:08.061346
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:12:08.106291
