dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.7,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:22.600954
uci,5,1,0.7,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:22.643284
uci,5,1,0.7,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:22.688169
uci,5,1,0.8,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:22.724575
uci,5,1,0.8,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:22.762196
uci,5,1,0.8,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:22.801279
uci,5,1,0.8,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:22.842404
uci,5,1,0.8,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:22.886723
uci,5,1,0.9,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:22.923378
uci,5,1,0.9,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:22.960884
uci,5,1,0.9,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:23.000079
uci,5,1,0.9,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:23.041333
uci,5,1,0.9,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:23.085989
uci,5,1,1.0,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T10:55:23.121900
uci,5,1,1.0,5,0.7826666666666666,0.7133540109816526,0.7391030276424766,0.7826666666666666,2025-09-15T10:55:23.160427
uci,5,1,1.0,6,0.7848333333333334,0.7468206556105906,0.7481616392134635,0.7848333333333334,2025-09-15T10:55:23.199190
uci,5,1,1.0,7,0.7845,0.7322918874229739,0.7437468099009148,0.7845,2025-09-15T10:55:23.240480
uci,5,1,1.0,8,0.785,0.7466489489627787,0.7482980400825487,0.785,2025-09-15T10:55:23.284907
uci,5,2,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-09-15T10:55:23.319365
uci,5,2,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-09-15T10:55:23.353626
uci,5,2,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-09-15T10:55:23.392017
uci,5,2,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-09-15T10:55:23.431857
uci,5,2,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-09-15T10:55:23.473388
uci,5,2,0.1,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:23.510253
uci,5,2,0.1,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:23.548331
uci,5,2,0.1,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:23.589102
uci,5,2,0.1,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:23.630798
uci,5,2,0.1,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:23.673113
uci,5,2,0.2,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:23.708502
uci,5,2,0.2,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:23.746802
uci,5,2,0.2,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:23.785608
uci,5,2,0.2,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:23.826689
uci,5,2,0.2,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:23.869996
uci,5,2,0.3,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:23.905263
uci,5,2,0.3,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:23.942741
uci,5,2,0.3,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:23.982779
uci,5,2,0.3,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:24.024719
uci,5,2,0.3,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:24.067919
uci,5,2,0.4,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:24.104163
uci,5,2,0.4,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:24.142320
uci,5,2,0.4,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:24.181934
uci,5,2,0.4,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:24.223685
uci,5,2,0.4,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:24.265888
uci,5,2,0.5,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:24.301090
uci,5,2,0.5,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:24.337683
uci,5,2,0.5,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:24.377868
uci,5,2,0.5,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:24.418155
uci,5,2,0.5,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:24.462074
uci,5,2,0.6,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:24.498144
uci,5,2,0.6,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:24.536251
uci,5,2,0.6,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:24.576947
uci,5,2,0.6,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:24.618148
uci,5,2,0.6,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:24.662652
uci,5,2,0.7,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:24.698443
uci,5,2,0.7,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:24.736135
uci,5,2,0.7,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:24.775219
uci,5,2,0.7,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:24.816564
uci,5,2,0.7,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:24.859560
uci,5,2,0.8,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:24.895088
uci,5,2,0.8,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:24.931350
uci,5,2,0.8,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:24.970678
uci,5,2,0.8,7,0.7843333333333333,0.7319929678848283,0.7433533874354471,0.7843333333333333,2025-09-15T10:55:25.011148
uci,5,2,0.8,8,0.785,0.7409251116426042,0.7463939459131066,0.785,2025-09-15T10:55:25.054414
uci,5,2,0.9,4,0.7848333333333334,0.7271806046370977,0.7443411838381159,0.7848333333333334,2025-09-15T10:55:25.089980
uci,5,2,0.9,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T10:55:25.128141
uci,5,2,0.9,6,0.7823333333333333,0.7339968304713017,0.7400246754250511,0.7823333333333333,2025-09-15T10:55:25.169000
