dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:57:42.150308
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-15T23:57:42.194469
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-15T23:57:42.238093
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-15T23:57:42.283873
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-15T23:57:42.338023
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:42.378982
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:42.421905
uci,,1,0.1,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:42.466827
uci,,1,0.1,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:42.516355
uci,,1,0.1,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:42.568005
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:42.610096
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:42.652520
uci,,1,0.2,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:42.697837
uci,,1,0.2,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:42.746074
uci,,1,0.2,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:42.796995
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:42.842499
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:42.885289
uci,,1,0.3,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:42.930881
uci,,1,0.3,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:42.980013
uci,,1,0.3,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:43.030555
uci,,1,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:43.072901
uci,,1,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:43.115709
uci,,1,0.4,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:43.164982
uci,,1,0.4,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:43.217812
uci,,1,0.4,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:43.268632
uci,,1,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:43.312178
uci,,1,0.5,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:43.355808
uci,,1,0.5,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:43.401032
uci,,1,0.5,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:43.450523
uci,,1,0.5,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:43.504954
uci,,1,0.6,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:43.546277
uci,,1,0.6,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:43.589307
uci,,1,0.6,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:43.634582
uci,,1,0.6,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:43.683302
uci,,1,0.6,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:43.734416
uci,,1,0.7,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:43.778163
uci,,1,0.7,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:43.822319
uci,,1,0.7,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:43.869726
uci,,1,0.7,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:43.919720
uci,,1,0.7,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:43.970070
uci,,1,0.8,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:44.011703
uci,,1,0.8,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:44.053475
uci,,1,0.8,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:44.097931
uci,,1,0.8,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:44.146305
uci,,1,0.8,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:44.196797
uci,,1,0.9,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:44.239398
uci,,1,0.9,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:44.282811
uci,,1,0.9,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:44.329818
uci,,1,0.9,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:44.378510
uci,,1,0.9,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:44.429164
uci,,1,1.0,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:57:44.471104
uci,,1,1.0,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:44.514410
uci,,1,1.0,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-15T23:57:44.559580
uci,,1,1.0,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-15T23:57:44.608212
uci,,1,1.0,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-15T23:57:44.659257
uci,,2,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:57:44.700000
uci,,2,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-15T23:57:44.742288
uci,,2,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-15T23:57:44.785490
uci,,2,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-15T23:57:44.832046
uci,,2,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-15T23:57:44.884691
uci,,2,0.1,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:57:44.927200
uci,,2,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:44.969063
uci,,2,0.1,6,0.8066666666666666,0.7835310654382235,0.7846528020028133,0.8066666666666666,2025-09-15T23:57:45.014902
uci,,2,0.1,7,0.8058333333333333,0.7770525299496496,0.782810885119381,0.8058333333333333,2025-09-15T23:57:45.064032
uci,,2,0.1,8,0.8058333333333333,0.7866745463102122,0.784966043427254,0.8058333333333333,2025-09-15T23:57:45.117482
uci,,2,0.2,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:57:45.159780
uci,,2,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:57:45.202412
uci,,2,0.2,6,0.8066666666666666,0.7835310654382235,0.7846528020028133,0.8066666666666666,2025-09-15T23:57:45.247923
uci,,2,0.2,7,0.8058333333333333,0.7770525299496496,0.782810885119381,0.8058333333333333,2025-09-15T23:57:45.297782
uci,,2,0.2,8,0.8058333333333333,0.7866745463102122,0.784966043427254,0.8058333333333333,2025-09-15T23:57:45.350931
uci,,2,0.3,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:57:45.393543
