dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-09-16T00:12:25.276027
uci,5,1,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-09-16T00:12:25.285202
uci,5,1,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-09-16T00:12:25.288928
uci,5,1,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-09-16T00:12:25.301241
uci,5,1,0.1,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:25.395250
uci,5,1,0.1,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:12:25.403125
uci,5,1,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-09-16T00:12:25.421209
uci,5,1,0.1,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:12:25.424897
uci,5,1,0.1,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:12:25.515377
uci,5,1,0.2,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:25.529714
uci,5,1,0.2,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:12:25.538902
uci,5,1,0.1,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:12:25.550718
uci,5,1,0.2,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:12:25.630924
uci,5,1,0.3,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:25.644022
uci,5,1,0.2,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:12:25.661847
uci,5,1,0.2,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:12:25.673259
uci,5,1,0.3,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:12:25.746953
uci,5,1,0.3,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:12:25.761548
uci,5,1,0.3,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:12:25.784906
uci,5,1,0.3,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:12:25.789463
uci,5,1,0.4,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:25.853858
uci,5,1,0.4,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:12:25.868903
uci,5,1,0.4,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:12:25.896037
uci,5,1,0.4,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:12:25.907807
uci,5,1,0.5,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:25.969303
uci,5,1,0.4,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:12:25.970961
uci,5,1,0.5,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:12:25.991614
uci,5,1,0.5,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:12:26.008396
uci,5,1,0.6,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:12:26.090064
