dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-15T23:49:26.556957
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-15T23:49:26.632844
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-15T23:49:26.712556
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-15T23:49:26.794311
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-15T23:49:26.885936
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:49:26.962588
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:49:27.039568
uci,,1,0.1,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T23:49:27.121031
uci,,1,0.1,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T23:49:27.206138
uci,,1,0.1,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T23:49:27.295553
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:49:27.369192
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:49:27.444568
uci,,1,0.2,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T23:49:27.525153
uci,,1,0.2,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T23:49:27.609200
uci,,1,0.2,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T23:49:27.698137
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:49:27.771910
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:49:27.848545
uci,,1,0.3,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T23:49:27.927914
uci,,1,0.3,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T23:49:28.011994
uci,,1,0.3,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T23:49:28.100577
uci,,1,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:49:28.174954
uci,,1,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-15T23:49:28.254643
uci,,1,0.4,6,0.8066666666666666,0.7832146979178568,0.7845792985549398,0.8066666666666666,2025-09-15T23:49:28.335187
uci,,1,0.4,7,0.8133333333333334,0.7916998621507781,0.7938794232867985,0.8133333333333334,2025-09-15T23:49:28.419911
uci,,1,0.4,8,0.8056666666666666,0.7860569882686085,0.7845563231166018,0.8056666666666666,2025-09-15T23:49:28.508859
uci,,1,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-15T23:49:28.583601
