dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-09-15T23:57:58.936443
uci,5,1,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-09-15T23:57:58.949343
uci,5,1,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-09-15T23:57:58.959859
uci,5,1,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-09-15T23:57:58.969330
uci,5,1,0.1,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T23:57:59.047803
uci,5,1,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-09-15T23:57:59.058538
uci,5,1,0.1,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-15T23:57:59.076261
uci,5,1,0.1,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T23:57:59.077894
uci,5,1,0.1,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-15T23:57:59.162179
uci,5,1,0.2,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T23:57:59.163400
uci,5,1,0.2,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T23:57:59.184863
uci,5,1,0.1,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-15T23:57:59.197602
uci,5,1,0.2,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-15T23:57:59.269461
uci,5,1,0.3,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-15T23:57:59.282277
uci,5,1,0.2,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-15T23:57:59.299004
uci,5,1,0.2,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-15T23:57:59.311318
uci,5,1,0.3,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-15T23:57:59.379651
uci,5,1,0.3,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-15T23:57:59.387607
uci,5,1,0.3,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-15T23:57:59.411238
uci,5,1,0.3,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-15T23:57:59.417724
