dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,,1,0.0,4,0.8061666666666667,0.7913923128275089,0.7878629656911248,0.8061666666666667,2025-09-16T00:13:18.851217
uci,,1,0.0,5,0.8108333333333333,0.7789395929095392,0.791402932999722,0.8108333333333333,2025-09-16T00:13:18.909399
uci,,1,0.0,6,0.8071666666666667,0.7839334048990594,0.7853035974511213,0.8071666666666667,2025-09-16T00:13:19.031157
uci,,1,0.0,7,0.8058333333333333,0.7766946873744434,0.7828165793052735,0.8058333333333333,2025-09-16T00:13:19.140546
uci,,1,0.0,8,0.7993333333333333,0.7732003845990643,0.7738383307250913,0.7993333333333333,2025-09-16T00:13:19.233666
uci,,1,0.1,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:19.352077
uci,,1,0.1,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:19.468643
uci,,1,0.1,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:19.594634
uci,,1,0.1,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:19.667356
uci,,1,0.1,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:19.805433
uci,,1,0.2,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:19.915104
uci,,1,0.2,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:19.993733
uci,,1,0.2,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:20.119519
uci,,1,0.2,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:20.249284
uci,,1,0.2,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:20.364045
uci,,1,0.3,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:20.441495
uci,,1,0.3,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:20.562231
uci,,1,0.3,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:20.708087
uci,,1,0.3,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:20.830966
uci,,1,0.3,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:20.946941
uci,,1,0.4,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:21.026746
uci,,1,0.4,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:21.132854
uci,,1,0.4,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:21.238863
uci,,1,0.4,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:21.339592
uci,,1,0.4,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:21.464509
uci,,1,0.5,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:21.579660
uci,,1,0.5,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:21.681818
uci,,1,0.5,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:21.772105
uci,,1,0.5,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:21.897522
uci,,1,0.5,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:22.028673
uci,,1,0.6,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:22.105935
uci,,1,0.6,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:22.207821
uci,,1,0.6,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:22.320910
uci,,1,0.6,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:22.440382
uci,,1,0.6,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:22.536025
uci,,1,0.7,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:22.649799
uci,,1,0.7,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:22.767758
uci,,1,0.7,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:22.850536
uci,,1,0.7,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:22.960903
uci,,1,0.7,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:23.095429
uci,,1,0.8,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:23.189174
uci,,1,0.8,5,0.8115,0.7784549601442508,0.7930547187058052,0.8115,2025-09-16T00:13:23.282721
uci,,1,0.8,6,0.805,0.7807008088417664,0.7821204849503998,0.805,2025-09-16T00:13:23.388737
uci,,1,0.8,7,0.8131666666666667,0.7870469906756128,0.793640647112246,0.8131666666666667,2025-09-16T00:13:23.500920
uci,,1,0.8,8,0.8088333333333333,0.7851707577585939,0.7874917613219786,0.8088333333333333,2025-09-16T00:13:23.610938
uci,,1,0.9,4,0.8058333333333333,0.7904275349899524,0.7870533219088969,0.8058333333333333,2025-09-16T00:13:23.717212
