dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,5,1,0.0,5,0.7835,0.7375478111065227,0.7430369781148733,0.7835,2025-09-16T00:13:59.231009
uci,5,1,0.0,4,0.7863333333333333,0.7423704769774352,0.748898500861322,0.7863333333333333,2025-09-16T00:13:59.253076
uci,5,1,0.0,7,0.7868333333333334,0.747850378920384,0.7511043481523113,0.7868333333333334,2025-09-16T00:13:59.267268
uci,5,1,0.0,6,0.7866666666666666,0.7446780146772726,0.7499701328057647,0.7866666666666666,2025-09-16T00:13:59.275848
uci,5,1,0.0,8,0.7848333333333334,0.7411285410307418,0.7461916545439852,0.7848333333333334,2025-09-16T00:13:59.456887
uci,5,1,0.1,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:13:59.457722
uci,5,1,0.1,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:13:59.477192
uci,5,1,0.1,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:13:59.488474
uci,5,1,0.1,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:13:59.629350
uci,5,1,0.1,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:13:59.643696
uci,5,1,0.2,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:13:59.662171
uci,5,1,0.2,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:13:59.666733
uci,5,1,0.2,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:13:59.795548
uci,5,1,0.3,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:13:59.813833
uci,5,1,0.2,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:13:59.841640
uci,5,1,0.2,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:13:59.853419
uci,5,1,0.3,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:13:59.984344
uci,5,1,0.3,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:14:00.035590
uci,5,1,0.3,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:14:00.062977
uci,5,1,0.3,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:14:00.075671
uci,5,1,0.4,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:14:00.120254
uci,5,1,0.4,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:14:00.219024
uci,5,1,0.4,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:14:00.239753
uci,5,1,0.4,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:14:00.273599
uci,5,1,0.4,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:14:00.327020
uci,5,1,0.5,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:14:00.366681
uci,5,1,0.5,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:14:00.399455
uci,5,1,0.5,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:14:00.420222
uci,5,1,0.5,7,0.784,0.7335751439077876,0.7429300148148148,0.784,2025-09-16T00:14:00.461842
uci,5,1,0.5,8,0.7861666666666667,0.7430522588416152,0.7487876556922609,0.7861666666666667,2025-09-16T00:14:00.593842
uci,5,1,0.6,4,0.7851666666666667,0.7272065527808849,0.7452574848886286,0.7851666666666667,2025-09-16T00:14:00.615345
uci,5,1,0.6,6,0.7845,0.746575259013841,0.7476597000708843,0.7845,2025-09-16T00:14:00.638972
uci,5,1,0.6,5,0.786,0.7301226685557897,0.7472694572195794,0.786,2025-09-16T00:14:00.645836
